Sl.No.,Load,Biogas flow rate,methane fraction,Intake temperature,CO2,CO,HC,O2,Smoke,Nox,Pb (kW),ṁf1 (kg/s),ṁf2 (kg/s),% pilot fuel,% Energy of pilot,ɳBT (%),ɳvol (%),BSEC ,A/F Ratio,ER,Pm,Pm(CA),dp/dt,ID,CD,CA50,Max. HRR,BSFC,CO2,HC,CO,NOx
11,15,2,80,35,5.81,0.1,116,12.54,42,546,3.025,0.00020355292376,1.78133333333333E-05,91.9530042350544,0.903416015722825,32.8031308875511,89.8969471949617,3.04848949762751,34.0344039117704,0.409831471102437,58.5998339418276,363,6.39857513030138,23,82,33,53.3038455385765,0.268143134075915,5.81,0.50656365444656,9.40569119662048,5.50232935002298
12,15,2,100,35,5.65,0.09,133,12.07,41,589,3.02814285714286,0.000205889693037,2.22666666666667E-05,90.2406110022228,0.883298229912091,31.7415836683499,89.8036447069545,3.15044142235763,34.853339598842,0.423705218517762,58.1795088888022,363,6.20428246649592,23,80,32,51.6891856870262,0.277110758416914,5.65,0.579809504208364,8.45066483866441,5.92552570234921
13,20,2,50,35,7.25,0.19,74,15.88,54,755,3.88666666666667,0.000269168026101,1.11333333333333E-05,96.0280844317718,0.951900266267977,33.5834069051128,91.1444168554408,2.97766097056626,24.9811827471454,0.52711773922463,66.1151104146735,362,9.70855346326713,21,82,31,78.820812372112,0.26191310335317,7.25,0.24826956555748,13.7296682823887,5.84543207887413
14,20,2,65,35,7.35,0.19,76,16.26,52,805,3.89295238095238,0.000263746803069,1.44733333333333E-05,94.7978843226499,0.937172418749488,33.7979892241354,90.997251489151,2.95875589925892,25.9223191043911,0.524414848245899,66.2456492436405,360,8.41549333642306,21,90,35,67.0195326947215,0.260250225697129,7.35,0.254212121448556,13.6883450010761,6.21378819127795
15,20,2,80,35,7.4,0.18,104,16.23,51,870,3.8992380952381,0.000261158594492,1.78133333333333E-05,93.6146502366034,0.923081566318972,33.6740217254988,91.2103662032135,2.96964825927749,26.7807702084875,0.524909278614106,67.0821126639202,362,8.81576329579273,22,89,36,71.0563359392113,0.261208310530663,7.4,0.348268768677318,12.9828002524681,6.72323584502811
16,20,2,100,35,7.29,0.2,118,9.81,48,973,3.91390476190476,0.000256052141527,2.22666666666667E-05,91.9995824891675,0.90396532946963,33.760828230249,91.581277065074,2.96201264133687,28.2450475623496,0.521129297371193,66.6055247859586,362,9.53249274254629,22,83,33,77.5140195683501,0.260536686591398,7.29,0.396017608567145,14.4569661536898,7.5356936076108
17,5,2,50,60,3.91,0.12,98,15.34,34,193,1.07485714285714,0.00012852469232,1.11333333333333E-05,92.0281464088609,0.90430224896272,18.4780978307398,84.6519908038177,5.41181245580603,43.3370870638637,0.278476928755384,46.6194246604479,360,2.85543671640873,22,109,61,20.318511759289,0.476019469333994,3.91,1.11135533562424,29.3104703900899,5.05082212972085
18,5,2,65,60,3.89,0.09,124,15.37,32,193,1.06752380952381,0.000121430674124,1.44733333333333E-05,89.3503263045036,0.872897807392401,18.7496015916112,84.9124746566738,5.33344666079418,46.7299446522336,0.273376859001006,44.8329860762219,364,2.57430731198713,25,110,56,22.1361493616706,0.469126465472514,3.89,1.40822190079626,22.0143870347803,5.0580674972769
19,5,2,80,60,3.43,0.1,145,15.47,26,152,1.07485714285714,0.000117287460904,1.78133333333333E-05,86.814782671065,0.843495794145485,18.8869382728193,85.2860969750101,5.29466441598492,50.4687427421928,0.269978741301733,44.7900181191878,364,2.89484477936624,25,96,48,24.8924112970177,0.465715204689839,3.43,1.65138966679738,24.5299260850539,3.99487367670879
20,5,2,100,60,3.2,0.11,182,15.76,21,141,1.08061904761905,0.000116657239819,2.22666666666667E-05,83.9720410763404,0.810911028482208,18.3532764356426,84.2006229420426,5.44861841702536,53.1429094999849,0.281117223169876,44.1387152033472,364,2.48827453154533,26,104,56,21.3963641507164,0.47925689751005,3.2,2.04439684323786,26.6134500303153,3.65502901390369
21,10,2,50,60,4.98,0.11,101,13.6,40,354,2.08266666666667,0.000161574618096,1.11333333333333E-05,93.5536648769378,0.922357280961453,29.0486053025655,86.3861279300342,3.44250606727643,35.8839501322305,0.34732717743704,50.4362296039349,363,3.86343506952601,24,81,32,31.7475296513019,0.302800572766691,4.98,0.587157773448092,13.7733887450124,4.74913598935167
22,10,2,65,60,4.74,0.1,123,13.64,35,345,2.08685714285714,0.000157804131599,1.44733333333333E-05,91.5988238281709,0.899242684132281,29.0556597393362,85.5469170063554,3.44167025967122,37.3783926337947,0.350435585350335,49.4338533472142,364,3.69622048585498,24,86,37,30.5509598689602,0.302727055678665,4.74,0.707339458284281,12.3861818836522,4.57846366056429
23,10,2,80,60,4.72,0.1,167,13.71,32,313,2.08266666666667,0.000151542983101,1.78133333333333E-05,89.4817425718657,0.874430505906054,29.3622080501113,85.3835470342959,3.40573841821888,39.7187588375016,0.347201570273402,51.9946092923135,363,3.8108287345105,23,100,46,31.2348936006859,0.299566514503225,4.72,0.957065756723633,12.3435472999824,4.13949675524409
24,10,2,100,60,4.38,0.1,173,13.7,26,323,2.08685714285714,0.000150410209663,2.22666666666667E-05,87.105009576272,0.846844963955702,28.7077258323581,86.2126618096927,3.48338285602841,42.2701692360887,0.351394396284216,49.6780736849719,364,3.67029397271918,24,89,37,31.5604027549596,0.306396068258949,4.38,0.999594863321087,12.4449338252514,4.30683602738165
25,15,2,50,60,6.42,0.09,149,11.4,45,684,3.04071428571429,0.000218369507676,1.11333333333333E-05,95.1489344165114,0.941367056836762,32.0274301598681,87.0287506871105,3.1223235676681,27.5067618051532,0.469265979678825,59.141806080798,362,7.02607804239295,21,94,41,56.165090472684,0.274637530385192,6.42,0.586568085819468,7.63113875201373,6.2139272694969
26,15,2,65,60,6.3,0.1,154,11.42,42,692,3.03442857142857,0.000213233393642,1.44733333333333E-05,93.6438709889691,0.923428671528224,32.1073551635651,86.1561638659252,3.11455115161521,28.3748827566272,0.472615461093631,59.9091802717567,362,6.08574847300921,22,88,34,49.0161964356211,0.273953873773816,6.3,0.599528913744401,8.38501977264897,6.21689323143545
27,15,2,80,60,6.48,0.09,240,11.05,43,722,3.04857142857143,0.000213068181818,1.78133333333333E-05,92.2846429166738,0.90732957716282,31.7192069612719,86.4565347568371,3.15266394024595,29.3165253764143,0.476521542785111,59.3996527469962,362,6.76374215115872,22,79,30,54.9525437186421,0.277306249630703,6.48,0.936562980195862,7.56454714773581,6.50190838174435
28,15,2,100,60,6.05,0.11,192,11.33,47,715,3.05328571428571,0.000200876552228,2.22666666666667E-05,90.0213563392275,0.880733140904887,32.7086045266021,85.6240619789508,3.05729949190188,31.6878457982385,0.466221420251631,57.2355765828805,362,6.86889495726383,24,93,37,56.2392445082919,0.268918055386209,6.05,0.740204348750396,9.13393186759303,6.36113112207371
29,20,2,50,60,8.07,0.18,152,9.64,55,963,3.87619047619048,0.000278716216216,1.11333333333333E-05,96.1589268119839,0.953471385542169,32.3988812392427,88.8158475100246,3.08652632976957,21.785864794439,0.606250895671758,66.9094281214733,362,9.43151717690828,20,102,46,75.1418285877313,0.271488828849943,8.07,0.462218176562891,11.7893704953288,6.75783558750097
30,20,2,65,60,7.67,0.18,175,9.61,50,1053,3.88666666666667,0.000274451097804,1.44733333333333E-05,94.9906163087904,0.939474541318366,32.506994390965,88.2034965573327,3.07626102854326,22.4024540157896,0.608205232162811,66.3680349984946,361,9.77350805650212,20,96,40,78.6843728009296,0.270585899695947,7.67,0.527851684804286,11.6939450172026,7.32959768042522
31,20,2,80,60,7.98,0.19,178,9.02,46,1122,3.90552380952381,0.000266990291262,1.78133333333333E-05,93.7453979531914,0.924635026901979,33.0471216510229,87.7776213057147,3.02598214319536,23.407702221452,0.60092021533942,77.8239462887869,359,13.0654732770913,19,89,34,107.882315964559,0.266163401962063,7.98,0.533327745626927,12.2614676176977,7.75791353405461
32,20,2,100,60,7.45,0.18,176,9.48,45,1062,3.91390476190476,0.00025668948351,2.22666666666667E-05,92.0178613546992,0.904180929016788,33.6850345690855,87.5896606605205,2.96867737496031,24.9288105496334,0.59043413515619,65.9182455102396,362,9.80564424285482,20,95,39,79.3695586095882,0.261122912183765,7.45,0.52489061134608,11.5622757044766,7.30900999890128
33,5,2,50,80,3.73,0.11,97,15.37,32,118,1.04866666666667,0.000123410620793,1.11333333333333E-05,91.7251329458518,0.900730254777778,18.7007555969527,82.416707728637,5.34737751539275,40.0341919127574,0.299572016532863,44.7190550928153,364,2.88920344306198,24,94,47,23.4706127456936,0.470351814293733,3.73,1.01217030026143,24.7223197843395,2.8414614297585
34,5,2,65,80,3.66,0.1,121,15.32,31,109,1.045,0.00012080831747,1.44733333333333E-05,89.3013329986524,0.872326625182278,18.4364822687037,82.3605603476419,5.42402821441442,42.0215407027203,0.30384504868441,44.0771723945038,364,2.30789897027998,25,106,53,20.5006124361037,0.477093959438328,3.66,1.26028981334861,22.4336393984494,2.61992860117606
35,5,2,80,80,3.57,0.1,134,15.36,30,97,1.0502380952381,0.00011650896766,1.78133333333333E-05,86.7383649612836,0.842614642799295,18.5582445095249,82.2933909589682,5.38844069807764,45.1248590717075,0.301847896065628,43.4096288184764,364,2.26269861427331,25,86,39,20.9541806970562,0.473963704873913,3.57,1.39232533342349,22.3795116738563,2.32587067753292
36,5,2,100,80,3.47,0.1,131,15.51,27,91,1.05861904761905,0.000113246396706,2.22666666666667E-05,83.568619797558,0.806318938268087,18.4162689621992,81.981353407629,5.42998151282749,49.0204783209299,0.304983691905156,44.2357434665608,363,2.31489340079582,25,111,59,19.9054813066616,0.477617607656835,3.47,1.35365642887387,22.2562419309856,2.1699835882711
37,10,2,50,80,5.25,0.11,85,13.26,40,357,2.04180952380952,0.000156013615734,1.11333333333333E-05,93.3391944061953,0.919811680542672,29.4124444969318,82.8754296840279,3.39992141797094,32.7329830053283,0.379013094498378,51.2533176199238,362,4.06673261286197,23,93,39,33.3868026660646,0.299054854981807,5.25,0.448369085356044,12.4975274470282,4.34573113498935
38,10,2,65,80,5.17,0.12,96,13.75,39,348,2.03238095238095,0.000150437636761,1.44733333333333E-05,91.223547272197,0.894827788529596,29.5370795917409,84.6955246873946,3.38557505962647,35.3420172754335,0.369060450311791,48.6202108234837,363,3.98192563346447,24,74,29,32.7721379109645,0.297792958723986,5.17,0.516382089975062,13.9025947300978,4.31973479113754
39,10,2,80,80,4.94,0.12,112,13.43,37,329,2.03238095238095,0.000147796488714,1.78133333333333E-05,89.2437941704497,0.871655970803129,29.2863727872245,84.6955246873946,3.41455736859372,37.0329579817451,0.371978686016831,44.8418447109523,364,2.68611435727243,23,110,58,21.6293398239666,0.300342223586235,4.94,0.60168885350928,13.8851273886757,4.07875617042348
40,10,2,100,80,4.71,0.11,125,13.32,37,324,2.03552380952381,0.00014450867052,2.22666666666667E-05,86.6487053528104,0.841581172445181,28.9639486854505,84.9193252046996,3.45256791765528,39.6665855005629,0.374774118859066,36.5883358020361,362,3.34818931157565,23,120,72,27.6876473615235,0.303685606517763,4.71,0.672126808471263,12.73938812364,4.02035235590196
41,15,2,50,80,6.87,0.08,93,10.84,44,759,2.96842857142857,0.000211213517665,1.11333333333333E-05,94.9928081808497,0.939500733724096,32.2612725563816,83.2472705515828,3.09969173798816,24.9160006870296,0.516253257321929,52.2016142608514,363,4.55287751397161,23,82,33,36.3048728974883,0.272646849510295,6.87,0.331568390104521,6.14320259581578,6.2446751386931
42,15,2,65,80,6.83,0.08,103,10.72,43,776,2.97785714285714,0.000204663855123,1.44733333333333E-05,93.3953093788868,0.920477491928734,32.7231693244497,83.3634808459523,3.05593871450841,26.3219262681675,0.508002497940172,55.4898972439969,363,5.77998738231318,22,97,42,46.6133605421378,0.268798362300388,6.83,0.366975636255878,6.13909951615509,6.38027842571832
43,15,2,80,80,6.69,0.08,106,10.74,43,780,2.98571428571429,0.000199854651163,1.78133333333333E-05,91.8162823188862,0.901804249485715,32.9174163667968,83.1441032647787,3.03790549311969,27.5443645506948,0.506074405292499,51.529696541693,362,4.11738249209806,23,125,80,32.5108699334413,0.26721217199059,6.69,0.376058544596867,6.11299811245996,6.38589981390907
44,15,2,100,80,6.57,0.07,121,10.35,41,749,2.98885714285714,0.000197038452353,2.22666666666667E-05,89.8467182315436,0.878691771385804,32.5664340342114,84.5533122511104,3.07064629473859,29.4015129454992,0.502638758526329,52.928502035105,362,4.44165607564963,22,86,34,35.2576357351894,0.270092031398039,6.57,0.435584115454644,5.42749438201591,6.2222346308111
45,20,2,50,80,8.27,0.17,98,8.65,53,1034,3.8992380952381,0.000282727895819,1.11333333333333E-05,96.2113636543867,0.954101286372611,32.1503016823365,85.6547299615359,3.11039072006408,19.6914816143873,0.671542829553173,62.6427391539759,363,7.42683348505448,21,93,39,58.5321296919528,0.273587924946997,8.27,0.272384509020602,10.1770036337368,6.6321565697167
46,20,2,65,80,8.22,0.18,97,8.13,53,1008,3.90342857142857,0.000277590847914,1.44733333333333E-05,95.0444682153326,0.940118133055364,32.3000355148102,84.7953817515188,3.09597182808508,20.199925535885,0.674955388510692,63.165535809307,362,7.09482487770416,20,89,36,55.3734588469278,0.27231964867832,8.22,0.266575532094443,10.6545652795876,6.39273916775254
47,20,2,80,80,7.9,0.19,96,8.82,52,954,3.90761904761905,0.000268031189084,1.78133333333333E-05,93.7681739769926,0.924905727854592,32.9460862502789,84.7044483662625,3.03526188938916,21.2453878711666,0.662152006183252,66.0463440338438,362,8.62799591411845,19,89,36,68.0316368300195,0.266979642342675,7.9,0.262932671171913,11.2083478416232,6.02975404562513
48,20,2,100,80,7.73,0.2,104,8.79,52,987,3.9327619047619,0.000260088272383,2.22666666666667E-05,92.1139446890561,0.905314516019479,33.4468979939404,84.1629175296109,2.98981388402945,22.4319472999786,0.656036967807542,66.6311130877472,361,8.54190452764443,19,93,37,67.1784825951142,0.262982065639807,7.73,0.282349687228676,11.6949574591759,6.18370875653928
49,5,2,50,100,4.25,0.11,89,14.99,31,297,1.04447619047619,0.000131202290076,1.11333333333333E-05,92.1781117989771,0.906071821116989,17.6237867888792,86.7861701857078,5.67414944347268,37.9475148506681,0.319019743053361,46.6159556529359,362,3.20851263695161,24,99,48,26.1202680263008,0.4990944584759,4.25,0.926732920811578,24.6701589982684,7.13672456735623
50,5,2,65,100,3.79,0.1,129,15.22,31,273,1.03766666666667,0.000121735281098,1.44733333333333E-05,89.3741424551032,0.873175508727217,18.1853819130435,85.0078912567183,5.49892218256218,40.519028584435,0.315363376857124,46.1537388456645,363,2.82321112209643,24,110,61,22.8346681786814,0.483681583689011,3.79,1.31357465683796,21.9320753675985,6.41513204502257
51,5,2,80,100,4.05,0.1,146,14.8,27,243,1.04133333333333,0.000119288606131,1.78133333333333E-05,87.007234614646,0.845716189452823,18.038271861878,84.3690530323259,5.54376831470975,42.6034377795156,0.320096298888903,45.9933360922653,363,2.83783732039791,24,105,52,22.9833818966991,0.487626220019427,4.05,1.47377018192541,21.7416043698164,5.66058199485576
52,5,2,100,100,3.55,0.1,163,15.22,24,223,1.04342857142857,0.000113793103448,2.22666666666667E-05,83.634643327814,0.80706993286687,18.0816237426054,85.2120941286045,5.53047676599816,47.3373588969704,0.315789407144812,45.6678967005269,363,2.84942144907388,24,104,54,23.0498678531426,0.486457104124154,3.55,1.65800327947174,21.9084907150584,5.23456438870501
53,10,2,50,100,5.2,0.1,85,13.36,39,529,2.0187619047619,0.000163140201701,1.11333333333333E-05,93.6115754287278,0.923045044107547,27.9078562883203,85.2669008269567,3.5832204009826,30.416384215413,0.410273160401895,51.1005782821109,362,3.82415715243496,23,95,42,31.1087011088163,0.315177713143505,5.2,0.437558042651738,11.0874436147047,6.28420464876297
54,10,2,65,100,5.17,0.11,103,13.28,38,515,2.01980952380952,0.000158562367865,1.44733333333333E-05,91.6356374822502,0.899676162303971,28.0011574634122,85.2226752559883,3.57128094189197,32.0500260746376,0.408866466622682,51.0832620755513,362,4.02982662033472,23,85,35,31.7362240165746,0.314127526163289,5.17,0.529082576948876,12.1700846676814,6.10479896479472
55,10,2,80,100,5.27,0.11,116,12.83,34,338,2.024,0.000157683486239,1.78133333333333E-05,89.8497685731343,0.878727413996847,27.5586505318542,85.7579271412102,3.62862469932673,33.4797805064145,0.41259588336627,51.0518873504869,362,4.04434056821116,23,95,41,31.9126850410263,0.319171445405987,5.27,0.598827598572783,12.2306963103725,4.02659936971354
56,10,2,100,100,4.92,0.12,128,13.06,34,527,2.03238095238095,0.000155484357331,2.22666666666667E-05,87.473114828909,0.851098868044757,27.1817806323772,85.0506437488306,3.67893484803149,35.2217076233484,0.421427876156444,50.9401866383621,363,4.06186235836671,23,93,40,32.1015893172476,0.323596693044209,4.92,0.654385610323464,13.2135555930699,6.21744981923916
57,15,2,50,100,6.84,0.08,84,10.76,42,973,2.95271428571429,0.000216421825813,1.11333333333333E-05,95.1074133519588,0.940870591933113,31.3638768691487,85.9628592092444,3.18838134766323,23.7318617659421,0.543403681498064,60.7485078639552,363,7.88319009659042,21,97,41,62.6237812974466,0.280447929329252,6.84,0.293232114825012,6.01501774000025,7.83831999243782
58,15,2,65,100,6.47,0.07,98,10.87,42,939,2.97,0.000214118868414,1.44733333333333E-05,93.6684920908558,0.923721173187023,31.3055894474261,85.4625462720478,3.19431774852659,24.50744472969,0.547354748762803,60.6479619006075,362,7.27423279851874,21,99,44,57.2462694009739,0.280970091250384,6.47,0.339677843854906,5.22581298238317,7.51077304661908
59,15,2,80,100,6.64,0.08,106,10.78,41,938,2.97785714285714,0.000208702251455,1.78133333333333E-05,92.1359347746377,0.905574020829897,31.5704053004831,85.2370514270028,3.16752347802357,25.6657833211217,0.543925149777577,57.6414293729556,364,6.40216076207775,22,100,44,50.0875523512283,0.278613284814427,6.64,0.36578888058673,5.9460601778975,7.46973809848374
60,15,2,100,100,6.53,0.09,122,10.73,41,975,2.98728571428571,0.000205786979297,2.22666666666667E-05,90.2362154428108,0.883246781715011,31.327115665835,85.7036909941878,3.19212279440902,27.1073964219027,0.54478350262459,56.7329020055261,361,6.53838673503582,22,95,39,51.9679253488881,0.280777024527768,6.53,0.422462887032142,6.71252506507564,7.79132373624851
61,20,2,50,100,7.25,0.16,88,9.71,52,1058,3.87619047619048,0.00029203539823,1.11333333333333E-05,96.327677568884,0.955499032915765,30.9869864897925,85.0022130118595,3.22716118370986,17.8718453519435,0.741907403079033,66.4042976126893,362,8.6109943906294,19,99,43,68.2792072688267,0.283858978238748,7.25,0.230842374721786,9.03998110798601,6.40466518677402
62,20,2,65,100,7.82,0.16,98,7.97,50,1170,3.87828571428571,0.000283797729618,1.44733333333333E-05,95.1475905204767,0.941350986535867,31.4312709914642,86.882982118645,3.18154490243671,19.0835313497659,0.715321358497162,66.0295036910227,361,8.30087164964767,19,94,38,65.3474463627806,0.279846600097053,7.82,0.261878465721338,9.20891308031079,7.21501895354707
63,20,2,80,100,8,0.17,96,8.7,50,1199,3.91809523809524,0.000273541114058,1.78133333333333E-05,93.8860266274276,0.926306878319264,32.4180391995879,86.0002138511294,3.08470229751808,20.0970947851564,0.700375927332983,65.9381800999188,361,7.82066691732023,18,100,43,60.9991663190091,0.271328388171059,8,0.25328985468095,9.66073484199777,7.3003494173668
64,20,2,100,100,8.2,0.2,104,8.12,48,1260,3.92438095238095,0.000269960732984,2.22666666666667E-05,92.3803631373163,0.90846019294044,32.2668031624997,85.4850473159477,3.09916044351798,20.7897939078201,0.707505000467766,65.8126181656683,362,8.81071720381022,19,95,42,69.9048977206653,0.272600117197634,8.2,0.272322855010615,11.2796448820965,7.61376029541512
65,5,4,50,35,4.2,0.14,159,13.37,30,65,1.0502380952381,0.000119930222416,2.22666666666667E-05,84.3409607549753,0.81511733956608,17.4404921979046,87.2853221908832,5.73378313325436,39.4989688072407,0.264075805946988,45.1464104307742,365,2.40070166059716,25,105,57,22.1493745235427,0.504339798663891,4.2,2.0145233944322,38.2047978044229,1.90049376833226
66,5,4,65,35,3.55,0.13,186,15.17,29,84,1.05704761904762,0.000116148106434,2.89466666666667E-05,80.049821197485,0.766598405216073,17.0462874284846,87.9984353489554,5.86638002084246,43.3877236010487,0.267647348678581,44.0954762586123,366,2.28805402346091,26,99,45,22.6897301268209,0.516002933811397,3.55,2.37060756878265,35.6865655515667,2.47060838433923
67,5,4,80,35,3.48,0.15,240,15.87,30,30,1.06228571428571,0.00011093182735,3.56266666666667E-05,75.6911621494426,0.718212621020877,16.8041938897195,86.6144227968685,5.95089539291606,47.1696350371482,0.275465380097689,43.3867842628753,366,2.13924631597981,26,99,47,21.3577421941314,0.523436850432413,3.48,3.00530158962466,40.455982937255,0.866913920084036
68,5,4,100,35,3.29,0.15,272,15.63,29,29,1.06857142857143,0.000102688573562,4.45333333333333E-05,69.7508786074309,0.653679901747452,16.6198096766193,86.4209086345823,6.0169160745974,55.0272559318528,0.278575460393684,42.787427917217,366,2.18191983489059,26,84,38,21.6961261083682,0.529243986233157,3.29,3.38832447137722,40.2459354631909,0.83366580602324
69,10,4,50,35,4.88,0.14,127,13.98,36,164,2.03552380952381,0.000152495378928,2.22666666666667E-05,87.2588658533318,0.848622139265554,27.6766383017734,89.0641396553275,3.61315557581979,33.6718420031185,0.326440355245255,50.2675151736074,365,3.3641550639564,25,82,39,29.5543761974073,0.317810791461866,4.88,0.824446362694974,19.5749832935451,2.4568601480674
70,10,4,65,35,4.67,0.11,153,13.94,36,173,2.04180952380952,0.000147058823529,2.89466666666667E-05,83.5535433386659,0.806147478556834,27.3475304811478,88.7899555414578,3.65663729925946,36.3129588141831,0.331016167764536,49.8758102759163,365,3.32711390048997,25,93,40,28.6094398681896,0.321635415298428,4.67,0.988095882003079,15.3008311541955,2.5782894055284
71,10,4,80,35,4.3,0.11,176,14.04,33,177,2.046,0.000142782969886,3.56266666666667E-05,80.0309740240994,0.766387254079518,26.8322424113008,88.9431055450251,3.72685959179779,39.3264512038946,0.336414642433557,49.2488828017038,366,3.05460807190546,25,82,32,27.8722390328245,0.327812122030689,4.3,1.1362554327132,15.2957462096008,2.6370263757461
72,10,4,100,35,4.14,0.12,216,14.07,35,186,2.05333333333333,0.000135245901639,4.45333333333333E-05,75.2288781626524,0.713132758115749,26.4536258983081,88.62545159665,3.78020012774111,44.3993184694821,0.341876202884121,43.8399930082401,366,2.069685563676,27,79,33,20.7797794861177,0.332503920540168,4.14,1.38557809936049,16.5795670008948,2.75339237693432
73,15,4,50,35,6.28,0.1,108,12.08,42,409,2.98728571428571,0.000201563645248,2.22666666666667E-05,90.0519878312294,0.881091356142462,31.9054574641357,89.2911580768965,3.13426002784658,27.3461502023013,0.424021536290034,59.8911051089988,363,6.93966533606315,23,89,36,58.0308669874593,0.275687453583065,6.28,0.471720347247722,9.40752829268962,4.12251329111791
74,15,4,65,35,5.98,0.07,125,12.06,41,395,2.99671428571429,0.000192711983182,2.89466666666667E-05,86.9408810860777,0.844950434208971,32.103126356502,89.3599678430309,3.11496141807219,29.5897791640034,0.420684926351135,58.8082187767605,363,6.44536447184801,23,78,30,53.7989793385521,0.273989960541924,5.98,0.544931789412833,6.57271573691787,3.9738102797182
75,15,4,80,35,5.97,0.08,151,11.81,38,421,3.01085714285714,0.00018215941709,3.56266666666667E-05,83.6414402370656,0.807147257378372,32.5964852718144,88.9402185160021,3.06781541525486,32.3116391479803,0.415836065170504,58.7558834238588,363,5.74531516380415,23,100,42,47.787770095081,0.269843029097867,5.97,0.653381241742935,7.45580224912978,4.2038742145763
76,15,4,100,35,5.6,0.09,169,12.03,41,418,3.02657142857143,0.000172090112641,4.45333333333333E-05,79.442052944421,0.759797876879153,32.6492013287314,88.8233777557415,3.06286205880325,36.2893681225313,0.415095993304459,57.5981555148776,363,5.4135983938513,24,99,42,45.5858029167023,0.269407335117565,5.6,0.727904017238642,8.34919491780326,4.15471842338305
